ID,Set_name,Name,Armor_type,set_variant,rank,rarity,slot_1,slot_2,slot_3,defense,fire_res,water_res,thunder_res,ice_res,dragon_res,skill_1,skill_1_level,skill_2,skill_2_level,skill_3,skill_3_level,group_skill, set_bonus_skill
17,Chainmail,Chainmail_Gloves,Arms,NA,Low_Rank,1,NA,NA,NA,2,0,2,0,0,0,Geologist,1,NA,NA,NA,NA,NA,NA
18,Chainmail,Chainmail_Belt,Waist,NA,Low_Rank,1,NA,NA,NA,2,0,2,0,0,0,Recovery_Speed,1,NA,NA,NA,NA,NA,NA
19,Chainmail,Chainmail_Pants,Legs,NA,Low_Rank,1,NA,NA,NA,2,0,2,0,0,0,Recovery_Speed,1,NA,NA,NA,NA,NA,NA
20,Chainmail,Chainmail_Headgear,Helm,NA,Low_Rank,1,NA,NA,NA,2,0,2,0,0,0,Geologist,1,NA,NA,NA,NA,NA,NA
21,Chainmail,Chainmail_Vest,Chest,NA,Low_Rank,1,NA,NA,NA,2,0,2,0,0,0,Geologist,1,NA,NA,NA,NA,NA,NA
22,Chatacabra,Chatacabra_Vambraces,Arms,,Low_Rank,1,NA,NA,NA,6,1,2,-3,-1,1,Item_Prolonger,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
23,Chatacabra,Chatacabra_Coil,Waist,NA,Low_Rank,1,NA,NA,NA,6,1,2,-3,-1,1,Speed_Eating,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
24,Chatacabra,Chatacabra_Greaves,Legs,NA,Low_Rank,1,NA,NA,NA,6,1,2,-3,-1,1,Item_Prolonger,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
25,Chatacabra,Chatacabra_Helm,Helm,NA,Low_Rank,1,NA,NA,NA,6,1,2,-3,-1,1,Speed_Eating,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
26,Chatacabra,Chatacabra_Mail,Chest,NA,Low_Rank,1,NA,NA,NA,6,1,2,-3,-1,1,Speed_Eating,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
27,Gajau,Gajau_Boots,Legs,NA,Low_Rank,1,NA,NA,NA,4,0,5,0,0,0,Water_Resistance,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
28,Hope,Hope_Vambraces,Arms,NA,Low_Rank,1,NA,NA,NA,2,1,0,1,0,0,Divine_Blessing,1,NA,NA,NA,NA,NA,NA
29,Hope,Hope_Coil,Waist,NA,Low_Rank,1,NA,NA,NA,2,1,0,1,0,0,Stun_Resistance,1,NA,NA,NA,NA,NA,NA
30,Hope,Hope_Greaves,Legs,NA,Low_Rank,1,NA,NA,NA,2,1,0,1,0,0,Divine_Blessing,1,NA,NA,NA,NA,NA,NA
31,Hope,Hope_Mask,Helm,NA,Low_Rank,1,NA,NA,NA,2,1,0,1,0,0,Stun_Resistance,1,NA,NA,NA,NA,NA,NA
32,Hope,Hope_Mail,Chest,NA,Low_Rank,1,NA,NA,NA,2,1,0,1,0,0,Divine_Blessing,1,NA,NA,NA,NA,NA,NA
33,Leather,Leather_Gloves,Arms,NA,Low_Rank,1,NA,NA,NA,2,2,0,0,0,0,Hunger_Resistance,1,NA,NA,NA,NA,NA,NA
34,Leather,Leather_Belt,Waist,NA,Low_Rank,1,NA,NA,NA,2,2,0,0,0,0,Botanist,1,NA,NA,NA,NA,NA,NA
35,Leather,Leather_Pants,Legs,NA,Low_Rank,1,NA,NA,NA,2,2,0,0,0,0,Botanist,1,NA,NA,NA,NA,NA,NA
36,Leather,Leather_Headgear,Helm,NA,Low_Rank,1,NA,NA,NA,2,2,0,0,0,0,Botanist,1,NA,NA,NA,NA,NA,NA
37,Leather,Leather_Vest,Chest,NA,Low_Rank,1,NA,NA,NA,2,2,0,0,0,0,Botanist,1,NA,NA,NA,NA,NA,NA
38,Piragill,Piragill_Greaves,Legs,NA,Low_Rank,1,NA,NA,NA,4,-3,4,-3,1,1,Water_Resistance,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
39,Quematrice,Quematrice_Braces,Arms,NA,Low_Rank,1,NA,NA,NA,6,2,-3,0,-1,0,Flinch_Free,1,NA,NA,NA,NA,Scaling_Prowess,NA
40,Quematrice,Quematrice_Coil,Waist,NA,Low_Rank,1,NA,NA,NA,6,2,-3,0,-1,0,Fire_Resistance,1,NA,NA,NA,NA,Scaling_Prowess,NA
41,Quematrice,Quematrice_Greaves,Legs,NA,Low_Rank,1,NA,NA,NA,6,2,-3,0,-1,0,Flinch_Free,1,NA,NA,NA,NA,Scaling_Prowess,NA
42,Quematrice,Quematrice_Helm,Helm,NA,Low_Rank,1,NA,NA,NA,6,2,-3,0,-1,0,Flinch_Free,1,NA,NA,NA,NA,Scaling_Prowess,NA
43,Quematrice,Quematrice_Mail,Chest,NA,Low_Rank,1,NA,NA,NA,6,2,-3,0,-1,0,Fire_Resistance,1,NA,NA,NA,NA,Scaling_Prowess,NA
44,Talioth,Talioth_Vambraces,Arms,NA,Low_Rank,1,NA,NA,NA,4,4,-2,-2,-2,2,Leap_of_Faith,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
45,Vespoid,Vespoid_Vambraces,Arms,NA,Low_Rank,1,NA,NA,NA,4,-2,1,1,1,2,Paralysis_Resistance,1,NA,NA,NA,NA,Neopteron_Alert,NA
46,Vespoid,Vespoid_Coil,Waist,NA,Low_Rank,1,NA,NA,NA,4,-2,1,1,1,2,Paralysis_Resistance,1,NA,NA,NA,NA,Neopteron_Alert,NA
47,Vespoid,Vespoid_Greaves,Legs,NA,Low_Rank,1,NA,NA,NA,4,-2,1,1,1,2,Survival_Expert,1,NA,NA,NA,NA,Neopteron_Alert,NA
48,Vespoid,Vespoid_Helm,Helm,NA,Low_Rank,1,NA,NA,NA,4,-2,1,1,1,2,Survival_Expert,1,NA,NA,NA,NA,Neopteron_Alert,NA
49,Vespoid,Vespoid_Mail,Chest,NA,Low_Rank,1,NA,NA,NA,4,-2,1,1,1,2,Survival_Expert,1,NA,NA,NA,NA,Neopteron_Alert,NA
50,Balahara,Balahara_Vambraces,Arms,NA,Low_Rank,2,NA,NA,NA,12,-1,2,-3,1,1,Evade_Extender,1,NA,NA,NA,NA,Scaling_Prowess,NA
51,Balahara,Balahara_Coil,Waist,NA,Low_Rank,2,NA,NA,NA,12,-1,2,-3,1,1,Evade_Extender,1,NA,NA,NA,NA,Scaling_Prowess,NA
52,Balahara,Balahara_Greaves,Legs,NA,Low_Rank,2,NA,NA,NA,12,-1,2,-3,1,1,Evade_Extender,1,NA,NA,NA,NA,Scaling_Prowess,NA
53,Balahara,Balahara_Helm,Helm,NA,Low_Rank,2,NA,NA,NA,12,-1,2,-3,1,1,Hunger_Resistance,1,NA,NA,NA,NA,Scaling_Prowess,NA
54,Balahara,Balahara_Mail,Chest,NA,Low_Rank,2,NA,NA,NA,12,-1,2,-3,1,1,Quick_Sheathe,1,NA,NA,NA,NA,Scaling_Prowess,NA
55,Conga,Conga_Vambraces,Arms,NA,Low_Rank,2,NA,NA,NA,8,-3,1,1,-1,2,Stench_Resistance,1,NA,NA,NA,NA,Fortifying_Pelt,NA
56,Conga,Conga_Coil,Waist,NA,Low_Rank,2,NA,NA,NA,8,-3,1,1,-1,2,Stench_Resistance,1,NA,NA,NA,NA,Fortifying_Pelt,NA
57,Conga,Conga_Greaves,Legs,NA,Low_Rank,2,NA,NA,NA,8,-3,1,1,-1,2,Mushroomancer,1,NA,NA,NA,NA,Fortifying_Pelt,NA
58,Conga,Conga_Helm,Helm,NA,Low_Rank,2,NA,NA,NA,8,-3,1,1,-1,2,Mushroomancer,1,NA,NA,NA,NA,Fortifying_Pelt,NA
59,Conga,Conga_Mail,Chest,NA,Low_Rank,2,NA,NA,NA,8,-3,1,1,-1,2,Mushroomancer,1,NA,NA,NA,NA,Fortifying_Pelt,NA
60,Doshaguma,Doshaguma_Braces,Arms,NA,Low_Rank,2,NA,NA,NA,16,-3,2,-1,-1,4,Recovery_Speed,1,NA,NA,NA,NA,Fortifying_Pelt,Doshaguma's_Might
61,Doshaguma,Doshaguma_Coil,Waist,NA,Low_Rank,2,NA,NA,NA,16,-3,2,-1,-1,4,Item_Prolonger,1,NA,NA,NA,NA,Fortifying_Pelt,Doshaguma's_Might
62,Doshaguma,Doshaguma_Greaves,Legs,NA,Low_Rank,2,NA,NA,NA,16,-3,2,-1,-1,4,Free_Meal,1,NA,NA,NA,NA,Fortifying_Pelt,Doshaguma's_Might
63,Doshaguma,Doshaguma_Helm,Helm,NA,Low_Rank,2,NA,NA,NA,16,-3,2,-1,-1,4,Free_Meal,1,NA,NA,NA,NA,Fortifying_Pelt,Doshaguma's_Might
64,Doshaguma,Doshaguma_Mail,Chest,NA,Low_Rank,2,NA,NA,NA,16,-3,2,-1,-1,4,Free_Meal,1,NA,NA,NA,NA,Fortifying_Pelt,Doshaguma's_Might
65,Ajarakan,Ajarakan_Vambraces,Arms,NA,Low_Rank,3,NA,NA,NA,24,3,-3,1,-2,0,Bombardier,1,Cliffhanger,1,NA,NA,Fortifying_Pelt,NA
66,Ajarakan,Ajarakan_Coil,Waist,NA,Low_Rank,3,NA,NA,NA,24,3,-3,1,-2,0,Blast_Resistance,1,Bombardier,1,NA,NA,Fortifying_Pelt,NA
67,Ajarakan,Ajarakan_Greaves,Legs,NA,Low_Rank,3,NA,NA,NA,24,3,-3,1,-2,0,Blast_Resistance,1,Partbreaker,1,NA,NA,Fortifying_Pelt,NA
68,Ajarakan,Ajarakan_Helm,Helm,NA,Low_Rank,3,NA,NA,NA,24,3,-3,1,-2,0,Partbreaker,1,Bombardier,1,NA,NA,Fortifying_Pelt,NA
69,Ajarakan,Ajarakan_Mail,Chest,NA,Low_Rank,3,NA,NA,NA,24,3,-3,1,-2,0,Partbreaker,1,NA,NA,NA,NA,Fortifying_Pelt,NA
70,Comaqchi,Comaqchi_Accessory,Helm,NA,Low_Rank,3,NA,NA,NA,16,-5,0,0,3,3,Sleep_Resistance,1,NA,NA,NA,NA,Neopteron_Alert,NA
71,Hirabami,Hirabami_Vambraces,Arms,NA,Low_Rank,3,NA,NA,NA,22,-3,2,-2,3,0,Evade_Window,1,Ice_Resistance,1,NA,NA,Scaling_Prowess,NA
72,Hirabami,Hirabami_Coil,Waist,NA,Low_Rank,3,NA,NA,NA,22,-3,2,-2,3,0,Evade_Window,1,Ice_Resistance,1,NA,NA,Scaling_Prowess,NA
73,Hirabami,Hirabami_Greaves,Legs,NA,Low_Rank,3,NA,NA,NA,22,-3,2,-2,3,0,Evade_Window,1,Ice_Resistance,1,NA,NA,Scaling_Prowess,NA
74,Hirabami,Hirabami_Headdress,Helm,NA,Low_Rank,3,NA,NA,NA,22,-3,2,-2,3,0,Evade_Window,1,Recovery_Speed,1,NA,NA,Scaling_Prowess,NA
75,Hirabami,Hirabami_Mail,Chest,NA,Low_Rank,3,NA,NA,NA,22,-3,2,-2,3,0,Evade_Window,1,Recovery_Speed,1,NA,NA,Scaling_Prowess,NA
76,Ingot,Ingot_Vambraces,Arms,NA,Low_Rank,3,NA,NA,NA,16,-2,0,3,-1,0,Stun_Resistance,1,NA,NA,NA,NA,NA,NA
77,Ingot,Ingot_Coil,Waist,NA,Low_Rank,3,NA,NA,NA,16,-2,0,3,-1,0,Divine_Blessing,1,NA,NA,NA,NA,NA,NA
78,Ingot,Ingot_Greaves,Legs,NA,Low_Rank,3,NA,NA,NA,16,-2,0,3,-1,0,Windproof,1,NA,NA,NA,NA,NA,NA
79,Ingot,Ingot_Helm,Helm,NA,Low_Rank,3,NA,NA,NA,16,-2,0,3,-1,0,Divine_Blessing,1,NA,NA,NA,NA,NA,NA
80,Ingot,Ingot_Mail,Chest,NA,Low_Rank,3,NA,NA,NA,16,-2,0,3,-1,0,Windproof,1,NA,NA,NA,NA,NA,NA
81,Kranodath,Kranodath_Mail,Chest,NA,Low_Rank,3,NA,NA,NA,16,4,-2,0,-2,0,Flinch_Free,2,NA,NA,NA,NA,Scaling_Prowess,NA
82,Nerscylla,Nerscylla_Vambraces,Arms,NA,Low_Rank,3,NA,NA,NA,20,-2,2,-2,1,2,Ambush,1,NA,NA,NA,NA,Neopteron_Alert,NA
83,Nerscylla,Nerscylla_Coil,Waist,NA,Low_Rank,3,NA,NA,NA,20,-2,2,-2,1,2,Sleep_Resistance,1,Bind_Resistance,1,NA,NA,Neopteron_Alert,NA
84,Nerscylla,Nerscylla_Greaves,Legs,NA,Low_Rank,3,NA,NA,NA,20,-2,2,-2,1,2,Ambush,1,NA,NA,NA,NA,Neopteron_Alert,NA
85,Nerscylla,Nerscylla_Helm,Helm,NA4,Low_Rank,3,NA,NA,NA,20,-2,2,-2,1,2,Ambush,1,NA,NA,NA,NA,Neopteron_Alert,NA
86,Nerscylla,Nerscylla_Mail,Chest,NA,Low_Rank,3,NA,NA,NA,20,-2,2,-2,1,2,Poison_Resistance,1,Bind_Resistance,1,NA,NA,Neopteron_Alert,NA
87,Rompopolo,Rompopolo_Vambraces,Arms,NA,Low_Rank,3,NA,NA,NA,18,0,-3,0,0,1,Wide-Range,1,Poison_Resistance,1,NA,NA,Flexible_Leathercraft,NA
88,Rompopolo,Rompopolo_Coil,Waist,NA,Low_Rank,3,NA,NA,NA,18,0,-3,0,0,1,Wide-Range,1,Poison_Resistance,1,NA,NA,Flexible_Leathercraft,NA
89,Rompopolo,Rompopolo_Greaves,Legs,NA,Low_Rank,3,NA,NA,NA,18,0,-3,0,0,1,Wide-Range,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
90,Rompopolo,Rompopolo_Helm,Helm,NA,Low_Rank,3,NA,NA,NA,18,0,-3,0,0,1,Wide-Range,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
91,Rompopolo,Rompopolo_Mail,Chest,NA,Low_Rank,3,NA,NA,NA,18,0,-3,0,0,1,Wide-Range,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
92,Duna,Duna_Vambraces,Arms,NA,Low_Rank,4,1,NA,NA,26,-1,4,-3,0,0,Tool_Specialist,1,NA,NA,NA,NA,Lord's_Favor,Uth_Duna's_Cover
93,Duna,Duna_Coil,Waist,NA,Low_Rank,4,NA,NA,NA,26,-1,4,-3,0,0,Tool_Specialist,1,Aquatic-Oilsilt_Mobility,1,NA,NA,Lord's_Favor,Uth_Duna's_Cover
94,Duna,Duna_Greaves,Legs,NA,Low_Rank,4,NA,NA,NA,26,-1,4,-3,0,0,Peak_Performance,1,NA,NA,NA,NA,Lord's_Favor,Uth_Duna's_Cover
95,Duna,Duna_Helm,Helm,NA,Low_Rank,4,NA,NA,NA,26,-1,4,-3,0,0,Peak_Performance,1,Tool_Specialist,1,NA,NA,Lord's_Favor,Uth_Duna's_Cover
96,Duna,Duna_Mail,Chest,NA,Low_Rank,4,1,NA,NA,26,-1,4,-3,0,0,Peak_Performance,1,NA,NA,NA,NA,Lord's_Favor,Uth_Duna's_Cover
97,G_Arkveld,G_Arkveld_Vambraces,Arms,NA,Low_Rank,4,1,NA,NA,30,2,0,-1,0,-4,Flayer,1,NA,NA,NA,NA,Guardian's_Pulse,Guardian_Arkveld's_Vitality
98,G_Arkveld,G_Arkveld_Coil,Waist,NA,Low_Rank,4,1,1,NA,30,2,0,-1,0,-4,Blight_Resistance,1,NA,NA,NA,NA,Guardian's_Pulse,Guardian_Arkveld's_Vitality
99,G_Arkveld,G_Arkveld_Greaves,Legs,NA,Low_Rank,4,1,NA,NA,30,2,0,-1,0,-4,Blight_Resistance,1,NA,NA,NA,NA,Guardian's_Pulse,Guardian_Arkveld's_Vitality
100,G_Arkveld,G_Arkveld_Helm,Helm,NA,Low_Rank,4,1,NA,NA,30,2,0,-1,0,-4,Flayer,1,NA,NA,NA,NA,Guardian's_Pulse,Guardian_Arkveld's_Vitality
101,G_Arkveld,G_Arkveld_Mail,Chest,NA,Low_Rank,4,NA,NA,NA,30,2,0,-1,0,-4,Flayer,1,Blight_Resistance,1,NA,NA,Guardian's_Pulse,Guardian_Arkveld's_Vitality
102,G_Doshaguma,G_Doshaguma_Braces,Arms,NA,Low_Rank,4,1,NA,NA,26,-3,2,-1,-2,2,Marathon_Runner,1,NA,NA,NA,NA,Guardian's_Pulse,Doshaguma's_Might
103,G_Doshaguma,G_Doshaguma_Coil,Waist,NA,Low_Rank,4,NA,NA,NA,26,-3,2,-1,-2,2,Heroics,1,Marathon_Runner,1,NA,NA,Guardian's_Pulse,Doshaguma's_Might
104,G_Doshaguma,G_Doshaguma_Greaves,Legs,NA,Low_Rank,4,NA,NA,NA,26,-3,2,-1,-2,2,Iron_Skin,1,Marathon_Runner,1,NA,NA,Guardian's_Pulse,Doshaguma's_Might
105,G_Doshaguma,G_Doshaguma_Helm,Helm,NA,Low_Rank,4,1,NA,NA,26,-3,2,-1,-2,2,Heroics,1,NA,NA,NA,NA,Guardian's_Pulse,Doshaguma's_Might
106,G_Doshaguma,G_Doshaguma_Mail,Chest,NA,Low_Rank,4,NA,NA,NA,26,-3,2,-1,-2,2,Heroics,1,Iron_Skin,1,NA,NA,Guardian's_Pulse,Doshaguma's_Might
107,G_Ebony,G_Ebony_Braces,Arms,NA,Low_Rank,4,1,NA,NA,26,-2,-3,-2,-2,4,Burst,1,NA,NA,NA,NA,Guardian's_Pulse,Ebony_Odogaron's_Power
108,G_Ebony,G_Ebony_Coil,Waist,NA,Low_Rank,4,NA,NA,NA,26,-2,-3,-2,-2,4,Burst,1,Bleeding_Resistance,1,NA,NA,Guardian's_Pulse,Ebony_Odogaron's_Power
109,G_Ebony,G_Ebony_Greaves,Legs,NA,Low_Rank,4,1,NA,NA,26,-2,-3,-2,-2,4,Bleeding_Resistance,1,NA,NA,NA,NA,Guardian's_Pulse,Ebony_Odogaron's_Power
110,G_Ebony,G_Ebony_Helm,Helm,NA,Low_Rank,4,1,NA,NA,26,-2,-3,-2,-2,4,Burst,1,NA,NA,NA,NA,Guardian's_Pulse,Ebony_Odogaron's_Power
111,G_Ebony,G_Ebony_Mail,Chest,NA,Low_Rank,4,1,NA,NA,26,-2,-3,-2,-2,4,Bleeding_Resistance,1,NA,NA,NA,NA,Guardian's_Pulse,Ebony_Odogaron's_Power
112,G_Rathalos,G_Rathalos_Vambraces,Arms,NA,Low_Rank,4,1,NA,NA,26,3,1,-2,1,-5,Weakness_Exploit,1,NA,NA,NA,NA,Guardian's_Pulse,Rathalos's_Flare
113,G_Rathalos,G_Rathalos_Coil,Waist,NA,Low_Rank,4,1,NA,NA,26,3,1,-2,1,-5,Intimidator,1,NA,NA,NA,NA,Guardian's_Pulse,Rathalos's_Flare
114,G_Rathalos,G_Rathalos_Greaves,Legs,NA,Low_Rank,4,1,NA,NA,26,3,1,-2,1,-5,Weakness_Exploit,1,NA,NA,NA,NA,Guardian's_Pulse,Rathalos's_Flare
115,G_Rathalos,G_Rathalos_Helm,Helm,NA,Low_Rank,4,NA,NA,NA,26,3,1,-2,1,-5,Weakness_Exploit,1,Intimidator,1,NA,NA,Guardian's_Pulse,Rathalos's_Flare
116,G_Rathalos,G_Rathalos_Mail,Chest,NA,Low_Rank,4,1,NA,NA,26,3,1,-2,1,-5,Intimidator,1,NA,NA,NA,NA,Guardian's_Pulse,Rathalos's_Flare
117,G_Seikret,G_Seikret_Coil,Waist,NA,Low_Rank,4,1,NA,NA,22,0,0,4,0,-3,Jump_Master,1,NA,NA,NA,NA,Guardian's_Pulse,NA
118,Rey_Rey_Sandbraces,Arms,NA,Low_Rank,4,1,NA,NA,26,0,-2,4,-3,0,Latent_Power,1,NA,NA,NA,NA,Lord's_Favor,Rey_Dau's_Voltage,
119,Rey,Rey_Sandcoil,Waist,NA,Low_Rank,4,1,NA,NA,26,0,-2,4,-3,0,Constitution,1,NA,NA,NA,NA,Lord's_Favor,Rey_Dau's_Voltage
120,Rey,Rey_Sandgreaves,Legs,NA,Low_Rank,4,NA,NA,NA,26,0,-2,4,-3,0,Constitution,1,Latent_Power,1,NA,NA,Lord's_Favor,Rey_Dau's_Voltage
121,Rey,Rey_Sandhelm,Helm,NA,Low_Rank,4,NA,NA,NA,26,0,-2,4,-3,0,Latent_Power,1,NA,NA,NA,NA,Lord's_Favor,Rey_Dau's_Voltage
122,Rey,Rey_Sandmail,Chest,NA,Low_Rank,4,NA,NA,NA,26,0,-2,4,-3,0,Constitution,1,NA,NA,NA,NA,Lord's_Favor,Rey_Dau's_Voltage
123,Udra,Udra_Mirebraces,Arms,NA,Low_Rank,4,1,NA,NA,26,5,-4,0,1,0,Speed_Eating,1,NA,NA,NA,NA,Lord's_Favor,Nu_Udra's_Mutiny
124,Udra,Udra_Mirecoil,Waist,NA,Low_Rank,4,1,NA,NA,26,5,-4,0,1,0,Resentment,1,NA,NA,NA,NA,Lord's_Favor,Nu_Udra's_Mutiny
125,Udra,Udra_Miregreaves,Legs,NA,Low_Rank,4,1,NA,NA,26,5,-4,0,1,0,Speed_Eating,1,NA,NA,NA,NA,Lord's_Favor,Nu_Udra's_Mutiny
126,Udra,Udra_Mirehelm,Helm,NA,Low_Rank,4,1,NA,NA,26,5,-4,0,1,0,Resentment,1,NA,NA,NA,NA,Lord's_Favor,Nu_Udra's_Mutiny
127,Udra,Udra_Miremail,Chest,NA,Low_Rank,4,NA,NA,NA,26,5,-4,0,1,0,Resentment,1,Speed_Eating,1,NA,NA,Lord's_Favor,Nu_Udra's_Mutiny
128,Xu_Wu,Xu_Wu_Vambraces,Arms,NA,Low_Rank,4,1,NA,NA,26,1,1,1,-3,2,Maximum_Might,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
129,Xu_Wu,Xu_Wu_Coil,Waist,NA,Low_Rank,4,NA,NA,NA,26,1,1,1,-3,2,Maximum_Might,1,Stamina_Surge,1,NA,NA,Flexible_Leathercraft,NA
130,Xu_Wu,Xu_Wu_Greaves,Legs,NA,Low_Rank,4,1,NA,NA,26,1,1,1,-3,2,Stamina_Surge,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
131,Xu_Wu,Xu_Wu_Helm,Helm,NA,Low_Rank,4,1,NA,NA,26,1,1,1,-3,2,Maximum_Might,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
132,Xu_Wu,Xu_Wu_Mail,Chest,NA,Low_Rank,4,1,NA,NA,26,1,1,1,-3,2,Stamina_Surge,1,NA,NA,NA,NA,Flexible_Leathercraft,NA
133,Afi,Afi_Crown_Alpha,Helm,Alpha,High_Rank,5,2,NA,NA,36,2,-3,2,2,2,Bombardier,2,Fire_Resistance,2,NA,NA,Festival_Spirit,Flamefete_Prayer
134,Afi,Afi_Top_Alpha,Chest,Alpha,High_Rank,5,2,NA,NA,36,2,-3,2,2,2,Burst,1,Heroics,1,NA,NA,Festival_Spirit,Flamefete_Prayer
135,Afi,Afi_Armguards_Alpha,Arms,Alpha,High_Rank,5,1,NA,NA,36,2,-3,2,2,2,Burst,2,NA,NA,NA,NA,Festival_Spirit,Flamefete_Prayer
136,Afi,Afi_Wrap_Alpha,Waist,Alpha,High_Rank,5,NA,NA,NA,36,2,-3,2,2,2,Blast_Resistance,2,Burst,1,Fire_Resistance,1,Festival_Spirit,Flamefete_Prayer
137,Afi,Afi_Sandals_Alpha,Legs,Alpha,High_Rank,5,1,1,NA,36,2,-3,2,2,2,Burst,1,Bombardier,1,Blast_Resistance,1,Festival_Spirit,Flamefete_Prayer
138,Alloy,Alloy_Helm_Alpha,Helm,Alpha,High_Rank,5,1,1,NA,32,-2,1,-2,-2,1,Quick_Sheathe,1,NA,NA,NA,NA,NA,NA
139,Alloy,Alloy_Mail_Alpha,Chest,Alpha,High_Rank,5,1,NA,NA,32,-2,1,-2,-2,1,Flinch_Free,2,NA,NA,NA,NA,NA,NA
140,Alloy,Alloy_Vambraces_Alpha,Arms,Alpha,High_Rank,5,1,1,NA,32,-2,1,-2,-2,1,Tremor_Resistance,1,NA,NA,NA,NA,NA,NA
141,Alloy,Alloy_Coil_Alpha,Waist,Alpha,High_Rank,5,1,NA,NA,32,-2,1,-2,-2,1,Quick_Sheathe,1,Tremor_Resistance,1,NA,NA,NA,NA
142,Alloy,Alloy_Greaves_Alpha,Legs,Alpha,High_Rank,5,1,NA,NA,32,-2,1,-2,-2,1,Quick_Sheathe,1,Flinch_Free,1,NA,NA,NA,NA
143,Balahara,Balahara_Helm_Alpha,Helm,Alpha,High_Rank,5,1,NA,NA,38,-1,2,-3,1,1,Evade_Window,1,Geologist,1,NA,NA,Scaling_Prowess,NA
144,Balahara,Balahara_Mail_Alpha,Chest,Alpha,High_Rank,5,1,NA,NA,38,-1,2,-3,1,1,Stamina_Surge,1,Geologist,1,NA,NA,Scaling_Prowess,NA
145,Balahara,Balahara_Vambraces_Alpha,Arms,Alpha,High_Rank,5,NA,NA,NA,38,-1,2,-3,1,1,Stamina_Surge,1,Evade_Extender,1,NA,NA,Scaling_Prowess,NA
