name,type,description,max_level,level_1_effect,level_2_effect,level_3_effect,level_4_effect,level_5_effect,level_6_effect,level_7_effect
Punishing Draw,Weapon Skill,"Adds a stun effect to draw attacks and slightly increases attack power. (Not effective while riding.)",3,Draw attacks deal a small amount of stun damage and gain attack +3.,Draw attacks deal a medium amount of stun damage and gain attack +5.,Draw attacks deal a large amount of stun damage and gain attack +7.,NA,NA,NA,NA
Slugger,Weapon Skill,Makes it easier to stun monsters.,3,Stun power +20%,Stun power +30%,Stun power +40%,NA,NA,NA,NA
Stamina Thief,Weapon Skill,Increases certain attacks' ability to exhaust monsters.,3,Exhaust power +20%,Exhaust power +30%,Exhaust power +40%,NA,NA,NA,NA
Artillery,Weapon Skill,"Strengthens explosive attacks like shells, Wyvern's Fire, charge blade phial attacks, and Sticky Ammo.",3,Moderately increases each attack and Wyvern's Fire firing speed. Shelling fire attack +30.,Increases each attack and Wyvern's Fire firing speed. Shelling fire attack +60.,Greatly increases each attack and Wyvern's Fire firing speed. Shelling fire attack +90.,NA,NA,NA,NA
Rapid Morph,Weapon Skill,Increases switch speed and power for switch axes and charge blades.,3,Speed +10%,Speed +20% Morph attack damage +10%,Speed +30% Morph attack damage +20%,NA,NA,NA,NA
Partbreaker,Armor Skill,"Makes it easier to break large monster parts, and increases damage dealt when destroying a wound with a Focus Strike.",3,Increases part damage and damage dealt when conditions are met by 10%.,Increases part damage and damage dealt when conditions are met by 20%.,Increases part damage and damage dealt when conditions are met by 30%.,NA,NA,NA,NA
Foray,Armor Skill,Increases attack power and affinity against large monsters affected by poison or paralysis.,5,Attack +6 against large monsters affected by poison or paralysis.,Attack +8 and affinity +5% against large monsters affected by poison or paralysis.,Attack +10 and affinity +10% against large monsters affected by poison or paralysis.,Attack +12 and affinity +15% against large monsters affected by poison or paralysis.,Attack +15 and affinity +20% against large monsters affected by poison or paralysis.,NA,NA
Coalescence,Armor Skill,Temporarily increases elemental attack power and status effects after recovering from blights or abnormal status.,3,"When active, grants a slight increase to elemental damage and status buildup.","When active, grants an increase to elemental damage and status buildup.","When active, grants a large increase to elemental damage and status buildup.",NA,NA,NA,NA
Ambush,Armor Skill,Temporarily increases damage to large monsters with a successful Sneak Attack.,3,Attack +5% while active.,Attack +10% while active.,Attack +15% while active.,NA,NA,NA,NA
Antivirus,Armor Skill,"Once infected, makes it easier to overcome the Frenzy and increases affinity if cured.",3,Slightly increases recovery rate after contracting the Frenzy. Affinity +3% if cured.,Increases recovery rate after contracting the Frenzy. Affinity +6% if cured.,Greatly increases recovery rate after contracting the Frenzy. Affinity +15% if cured.,NA,NA,NA,NA
Elemental Absorption,Armor Skill,"After taking elemental damage, temporarily grants you element effects. (Cooldown after effect ends)",3,"While active, slightly increases elemental attack, and resistance to element taken at activation by 4.","While active, moderately increases elemental attack, and resistance to element taken at activation by 6.","While active, increases elemental attack, and resistance to element taken at activation by 8.",NA,NA,NA,NA
Horn Maestro,Weapon Skill,"Increases the effect duration of hunting horn melodies. (Effect lost when you change weapons.)",2,Extends Melody Effect duration and increases the chance of larger heals from healing melodies.,Greatly increases the effect duration of hunting horn melodies.,NA,NA,NA,NA,NA
Charge Up,Weapon Skill,Increases your power to induce stun when you hit a monster with a hammer's charged attack.,1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Airborne,Weapon Skill,Increases the damage caused by jumping attacks.,1,Jumping attack power +10%,NA,NA,NA,NA,NA,NA
Self-Improvement,Decoration Skill,"Attack and defense increase as time passes while on a quest. (The maximum is reached after 30 minutes.)",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Poison Duration Up,Weapon Skill,Extends the duration of your poison's effect on monsters.,1,Extends the duration of your poison's effect by 20%.,NA,NA,NA,NA,NA,NA
Guard,Weapon Skill,Reduces knockbacks and stamina depletion when guarding.,3,Slightly decreases the impact of attacks and reduces stamina depletion by 15%.,Decreases the impact of attacks and reduces stamina depletion by 30%.,Greatly decreases the impact of attacks and reduces stamina depletion by 50%.,NA,NA,NA,NA
Evade Window,Armor Skill,Extends the invulnerability period when evading.,5,Very slightly increases invulnerability window.,Slightly increases invulnerability window.,Increases invulnerability window.,Greatly increases invulnerability window.,Massively increases invulnerability window.,NA,NA
Evade Extender,Armor Skill,Increases evade distance.,3,Slightly extends evasion distance.,Extends evasion distance.,Greatly extends evasion distance.,NA,NA,NA,NA
Earplugs,Armor Skill,Grants protection from large monsters' roars.,3,Reduces the effects of weak monster roars.,Nullifies weak monster roars and reduces the effects of strong monster roars.,Nullifies weak and strong monster roars.,NA,NA,NA,NA
Guard Up,Weapon Skill,Allows you to guard against ordinarily unblockable attacks.,3,Reduces damage taken by 30%.,Reduces damage taken by 50%.,Reduces damage taken by 80%.,NA,NA,NA,NA
Quick Sheathe,Armor Skill,Speeds up weapon sheathing.,3,Slightly increases sheathing speed.,Increases sheathing speed.,Greatly increases sheathing speed.,NA,NA,NA,NA
Windproof,Armor Skill,Grants protection against wind pressure.,3,Negates minor wind pressure and halves the effects of major wind pressure.,Negates minor and major wind pressure and halves the effects of dragon wind pressure.,Negates all kinds of wind pressure.,NA,NA,NA,NA
Tremor Resistance,Armor Skill,Grants protection against ground tremors.,3,Nullifies very minor ground tremors and halves effects of minor ground tremors.,Nullifies up to minor ground tremors and greatly reduces the effects of major ground tremors.,Nullifies all ground tremors.,NA,NA,NA,NA
Flinch Free,Armor Skill,Prevents knockbacks and other reactions to small damage.,3,Prevents knockbacks.,Prevents knockbacks. Tripping is reduced to a knockback instead.,Prevents knockbacks and tripping.,NA,NA,NA,NA
Intimidator,Armor Skill,"Reduces the chance small monsters will attack after spotting you. (Has no effect on certain monsters.)",3,Discourages monsters from engaging you even if you've been spotted.,Highly discourages monsters from engaging you even if you've been spotted.,Prevents monsters from engaging you even if you've been spotted.,NA,NA,NA,NA
Speed Eating,Armor Skill,Increases meat-eating and item-consumption speed.,3,Moderately increases eating speed.,Increases eating speed.,Greatly increases eating speed.,NA,NA,NA,NA
Load Shells,Weapon Skill,"Improves reloading, and increases the gunlance's shell capacity and charge blade's phial capacity.",2,Increases shell and phial reloading speed.,Increases shell/phial reloading speed. Gunlance loading capacity +1. Charge blade charges 5 phials on yellow gauge.,NA,NA,NA,NA,NA
Aquatic-Oilsilt Mobility,Armor Skill,"Grants resistance against impairments to mobility while in water, oilsilt, or streams.",2,Negates the effects of muddy streams and prevents you from being slowed down in water or oilsilt.,Also negates the effects of waves.,NA,NA,NA,NA,NA
Shock Absorber,Decoration Skill,Disables damage reactions when you hit a friend or when a friend hits you.,1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Leap of Faith,Armor Skill,"Allows you to do a dive-evade when facing towards large monsters and extends the dive-evade distance.",1,Enables skill use.,NA,NA,NA,NA,NA,NA
Jump Master,Armor Skill,Prevents attacks from knocking you back during a jump.,1,Negates knockback during jumps.,NA,NA,NA,NA,NA,NA
Cliffhanger,Armor Skill,Decreases stamina depletion when climbing on vines.,1,Reduces stamina depletion while climbing by 50%.,NA,NA,NA,NA,NA,NA
Wide-Range,Armor Skill,Allows the effects of certain items to also affect nearby allies.,5,"Items affect nearby allies with 33% of their efficacy.","Items affect nearby allies in a wider radius with 33% of their efficacy.","Items affect nearby allies in a wider radius with 66% of their efficacy.","Items affect nearby allies in a much wider radius with 66% of their efficacy.","Items affect nearby allies in a much wider radius with full efficacy.",NA,NA
Tool Specialist,Armor Skill,Reduces the recharge time for specialized tools.,5,Shortens recharge time by 10%.,Shortens recharge time by 20%.,Shortens recharge time by 30%.,Shortens recharge time by 40%.,Shortens recharge time by 50%.,NA,NA
Bombardier,Armor Skill,Increases the damage of explosive items.,3,Explosive power +10%,Explosive power +20%,Explosive power +30%,NA,NA,NA,NA
Mushroomancer,Armor Skill,"Lets you digest mushrooms that would otherwise be inedible and gain their advantageous effects.",3,Lets you digest blue mushrooms and toadstools.,Additionally lets you digest nitroshrooms and parashrooms.,Additionally lets you digest mandragoras devil's blight and exciteshrooms.,NA,NA,NA,NA
Item Prolonger,Armor Skill,Extends the duration of some item effects.,3,Item effect duration +10%,Item effect duration +25%,Item effect duration +50%,NA,NA,NA,NA
Free Meal,Armor Skill,Gives you a predetermined chance of consuming a food or drink item for free.,3,Activates 10% of the time.,Activates 25% of the time.,Activates 45% of the time.,NA,NA,NA,NA
Speed Sharpening,Weapon Skill,Speeds up weapon sharpening when using a whetstone.,2,Removes one cycle from the sharpening process.,Removes two cycles from the sharpening process.,NA,NA,NA,NA,NA
Stench Resistance,Armor Skill,Grants protection against stench.,2,Reduces stench duration by 50%.,Prevents stench.,NA,NA,NA,NA,NA
Blindsider,Armor Skill,Improves the effectiveness of flash attacks and items.,1,Improves the effectiveness of flash attacks and items.,NA,NA,NA,NA,NA,NA
Botanist,Armor Skill,Increases the quantity of herbs and other consumable items you gather.,4,One extra consumable herb item per gather.,Additionally adds one extra consumable fruit nut or seed item per gather.,Additionally adds one extra consumable insect item per gather.,Additionally adds one extra consumable mushroom item per gather.,NA,NA,NA
Geologist,Armor Skill,Increases the number of items you gain at gathering points.,3,One extra item when gathering from bonepiles.,Additionally adds one extra item when gathering special items.,Additionally adds one extra item when gathering from mining outcrops.,NA,NA,NA,NA
Entomologist,Armor Skill,"The bodies of small insect monsters won't be destroyed, allowing them to be carved.",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Outdoorsman,Armor Skill,Improves fishing grilling and transporting abilities.,1,Improves fishing grilling and transporting abilities.,NA,NA,NA,NA,NA,NA
Honey Hunter,Armor Skill,Increases the amount of honey you gain from gathering points.,1,Increases the amount of honey you gain from gathering points.,NA,NA,NA,NA,NA,NA
Fleetfoot,Armor Skill,"Increases movement speed while crouching, and makes it easier to escape large monsters' detection.",1,"Increases movement speed while crouching, and makes it easier to escape large monsters' detection.",NA,NA,NA,NA,NA,NA
Master Mounter,Armor Skill,"Makes it easier to mount monsters and to wound them once mounted.",1,"Makes it easier to mount monsters and to wound them once mounted. Master Mounter has 1 level, after which, additional levels won't provide any further benefit.",NA,NA,NA,NA,NA,NA
Adrenaline,Armor Skill,Temporarily reduces stamina depletion when health is at 40% or lower.,1,Temporarily reduces stamina depletion when health is at 40% or lower.,NA,NA,NA,NA,NA,NA
Hunter Gatherer,Armor Skill,"Increases gathering speed, and prevents knock back when gathering or carving.",1,"Increases gathering speed, and prevents knock back when gathering or carving.",NA,NA,NA,NA,NA,NA
Affinity Sliding,Armor Skill,Increases your affinity temporarily when sliding on terrain.,1,Increases your affinity temporarily when sliding on terrain.,NA,NA,NA,NA,NA,NA
Fortify,Armor Skill,"Increases attack and defense after fainting during a quest. (Can be used twice.)",1,"Increases attack and defense after fainting during a quest. (Can be used twice.)",NA,NA,NA,NA,NA,NA
Diversion,Armor Skill,Increases the attention drawn to you when attacking a monster.,1,Increases the attention drawn to you when attacking a monster.,NA,NA,NA,NA,NA,NA
Inspiration,Armor Skill,"Temporarily increases attack power when using effects like Melody Effects that affect companions in range.",1,"Temporarily increases attack power when using effects like Melody Effects that affect companions in range.",NA,NA,NA,NA,NA,NA
Resuscitate,Armor Skill,Increases attack when inflicted with ailments.,1,Increases attack when inflicted with ailments.,NA,NA,NA,NA,NA,NA
Wylk Burst,Armor Skill,"Increases recovery speed of stamina and red gauge when near Wylkrystals.",1,"Increases recovery speed of stamina and red gauge when near Wylkrystals.",NA,NA,NA,NA,NA,NA
Ward of Wyveria,Armor Skill,"Reduces elemental and unique damage while in the Ruins of Wyveria.",1,"Reduces elemental and unique damage while in the Ruins of Wyveria.",NA,NA,NA,NA,NA,NA
Forager's Luck,Armor Skill,Increases the chance of finding rare gathering points.,1,Increases the chance of finding rare gathering points.,NA,NA,NA,NA,NA,NA
