Song,Note 1,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,Note 8,Note 9,Note 10,Note 11,Note 12,Note 13,Note 14,Note 15,Note 16,Note 17,Note 18,Note 19,Note 20,Note 21,Note 22,Note 23,Note 24,Note 25,Note 26,Note 27,Note 28,Note 29
All Ailments Negated,Nullifies all status ailments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blight Negated,Nullifies all elemental blights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Resistance (S),Slightly increases fire resistance and prevents fireblight.Tier 1 & 2: +5 Fire Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Resistance (L),Greatly increases fire resistance and prevents fireblight.Tier 1 & 2: +7 Fire Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Resistance (S),Slightly increases water resistance and prevents waterblight.Tier 1 & 2: +5 Water Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Resistance (L),Greatly increases water resistance and prevents waterblight.Tier 1 & 2: +7 Water Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder Resistance (S),Slightly increases thunder resistance and prevents thunderblight.Tier 1 & 2: +5 Thunder Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder Resistance (L),Greatly increases thunder resistance and prevents thunderblight.Tier 1 & 2: +7 Thunder Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Resistance (S),Slightly increases ice resistance and prevents iceblight.Tier 1 & 2: +5 Ice Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Resistance (L),Greatly increases ice resistance and prevents iceblight.Tier 1 & 2: +7 Ice Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Resistance (S),Slightly increases dragon resistance and prevents dragonblight.Tier 1 & 2: +5 Dragon Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Resistance (L),Greatly increases dragon resistance and prevents dragonblight.Tier 1 & 2: +7 Dragon Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melody,Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Recovery (S),Slightly recovers health when activating a Melody Effect.Close to about 1/3 of aPotion. Encore repeats the effect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Recovery (M),Moderately recovers health when activating a Melody Effect.Close to about 1/2 of aPotion. Encore repeats the effect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Recovery (L),Greatly recovers health when activating a Melody Effect.Close to a fullPotion. Encore repeats the effect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Recovery (S) + Antidote,Recovers health slightly and removes poison when activating Melody Effect.CuresPoisonailment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Recovery (M) + Antidote,Recovers health moderately and removes poison when activating Melody Effect.CuresPoisonailment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Speed (S),Slightly increases the natural recovery rate of the red portion of your Health Gauge.Close toRecovery Speed2 in health gained over time. Stacks with Recovery Speed skill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Speed (L),Greatly increases the natural recovery rate of the red portion of your Health Gauge.Close toRecovery Speed3 in health gained over time. Stacks with Recovery Speed skill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melody,Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamina Use Reduced (S),Stamina consumption is slightly reduced.Grants effect close toConstitution1 and betweenMarathon Runner1~2. Stacks with stamina skills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamina Use Reduced (L),Stamina consumption is greatly reduced.Grants effect close toConstitution1 and betweenMarathon Runner1~2. Stacks with stamina skills. Longer duration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melody,Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonic Wave,Creates the effect of aScreamer Podaround you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extend All Melodies,Extends the duration of all melody effects.+20 secondsto all active melodies upon use. This effect is repeated when used with Encore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restore Sharpness,Restores a certain amount of weapon sharpness when activating a Melody Effect.Only affects weaponscurrently equipped by the hunteroutside of theSeikret.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echo Wave,"A Melody Effect that deals damage.Each Hunting Horn has different effects. Some deal blunt or severing damage, while others can inflict elemental damage or status ailments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song,Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset Melody,A Special Performance attack that canoffsetattacks. Its high damage ensures its usefulness as a normal attack as well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resounding Melody,"A unique and powerful Performance attack that hits multiple tmes. Hitting a monster with the final part of the attack will unleash apiercing sound wave, dealing high damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melody of Life,"A special performance that restores a large amount of health. While powerful, it will lead you wide open, so time its use wisely.Grants health nearly twice of aPotion, but less than aMega Potion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melody,Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Regeneration,Gradually recovers health.Health Regeneration is always active even during health loss and beyond red health. It is comparable toRecovery Speed1~2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamina Regeneration,"Continuously restores stamina.Stamina Regeneration is active even during stamina consumption, but is slower than natural stamina recovery orStamina Surge1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evasion & Movement Speed Up,Increases evasion and movement speed.Grants a temporary equivalent ofEvade Window3 (20-21 frames).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack & Affinity Up,Increases attack and affinity+10% Attackand+25% Affinityto anyone affected by the echo bubble.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense & Elemental Resistance Up,Increases defense and elemental resistances.Grants temporary+5 to All Resistancesand+10% Defense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailments/Blights Negated,Removes and prevents various status ailments and blights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note Colors,Songs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White, Red, Blue",White,White,White,Red,White,White,Blue2,Blue2,Blue2,Blue2,Red,Red,Blue2,White,White,Red,Red,White,Red,Blue2,Blue2,,,,,,,,
"White, Red, Cyan",White,White,White,Red,White,Cyan2,Cyan2,Red,White,Cyan2,Red,Cyan2,Red,Red,Cyan2,White,Red,Red,White,Red,Cyan2,Cyan2,,,,,,,
"White, Red, Yellow",White,White,White,Red,White,Yellow2,Red,White,Yellow2,Yellow2,Yellow2,White,Red,Red,Yellow2,Red,Yellow2,White,,,,,,,,,,,
"White, Blue, Cyan",White,White,White,Cyan2,Blue1,White,Blue1,Blue1,Blue1,Blue1,Cyan2,Blue1,White,Cyan2,White,Blue1,Cyan2,Blue1,Cyan2,White,Blue1,,,,,,,,
"White, Blue, Green",White,White,White,Green2,White,Green2,Blue1,White,Blue1,White,Green2,Blue1,White,Blue1,Blue1,Blue1,Blue1,Green2,White,Blue1,Green2,Green2,Blue1,Green2,,,,,
"White, Blue, Yellow",White,White,White,Yellow2,Blue1,White,Blue1,Blue1,Yellow2,Blue1,White,Yellow2,Yellow2,Yellow2,White,Blue1,Yellow2,Yellow2,Blue1,Yellow2,White,,,,,,,,
"White, Green, Cyan",White,White,White,Green1,White,Green1,White,Cyan2,Green1,Cyan2,Cyan2,Green1,White,Green1,Cyan2,White,Cyan2,Green1,Green1,White,,,,,,,,,
"White, Green, Yellow",White,White,White,Green1,White,Green1,Green1,Yellow2,Yellow2,White,Green1,Yellow2,Yellow2,Yellow2,White,Yellow2,Green1,Yellow2,Green1,Yellow2,White,,,,,,,,
"Purple, Red, Blue",Purple,Purple,Purple,Red,Blue2,Purple,Purple,Blue2,Blue2,Purple,Blue2,Blue2,Red,Blue2,Purple,Red,Purple,Blue2,Red,Purple,Red,Blue2,Blue2,,,,,,
"Purple, Red, Green",Purple,Purple,Purple,Red,Green2,Purple,Purple,Green2,Purple,Green2,Green2,Red,Purple,Purple,Green2,Red,Red,Green2,Purple,Green2,,,,,,,,,
"Purple, Red, Cyan",Purple,Purple,Purple,Red,Cyan2,Purple,Cyan2,Cyan2,Red,White,Cyan2,Red,Cyan2,Red,Red,Cyan2,Purple,Red,Red,Purple,Red,Cyan2,Cyan2,,,,,,
"Purple, Red, Yellow",Purple,Purple,Red,Yellow2,Purple,Purple,Red,Yellow2,Yellow2,Yellow2,Yellow2,Purple,Red,Red,Yellow2,Red,Yellow2,Purple,,,,,,,,,,,
"Purple, Red, Orange",Purple,Purple,Purple,Orange,Orange,Red,Red,Orange,Red,Purple,Orange,Red,Orange,Red,Orange,Purple,Purple,Orange,Red,Purple,Red,Orange,Orange,,,,,,
"Purple, Blue, Green",Purple,Purple,Purple,Green2,Purple,Green2,Blue1,Purple,Blue1,Purple,Green2,Blue1,Green2,Purple,Blue1,Blue1,Purple,Blue1,Blue1,Green2,Purple,Blue1,Green2,Green2,Blue1,Green2,,,
"Purple, Blue, Cyan",Purple,Purple,Purple,Cyan2,Blue1,Cyan2,Purple,Blue1,Blue1,Purple,Cyan2,Blue1,Purple,Blue1,Blue1,Cyan2,Blue1,Purple,Cyan2,Purple,Blue1,Cyan2,Blue1,Cyan2,Purple,Blue1,,,
"Purple, Blue, Yellow",Purple,Purple,Purple,Yellow2,Blue1,Purple,Blue1,Blue1,Purple,Yellow2,Blue1,Purple,Blue1,Blue1,Yellow2,Purple,Yellow2,Yellow2,Yellow2,Purple,Blue1,Yellow2,Yellow2,Blue1,Yellow2,Purple,,,
"Purple, Blue, Orange",Purple,Purple,Purple,Orange,Purple,Blue1,Purple,Blue1,Blue1,Purple,Blue1,Blue1,Orange,Purple,Blue1,Orange,Orange,Orange,Blue1,Orange,Orange,Blue1,Purple,Orange,,,,,
"Purple, Green, Cyan",Purple,Purple,Purple,Green1,Purple,Green1,Green1,Purple,Cyan2,Cyan2,Cyan2,Green1,Purple,Green1,Cyan2,Purple,Cyan2,Green1,Green1,Purple,,,,,,,,,
"Purple, Green, Yellow",Purple,Purple,Purple,Green1,Purple,Green1,Green1,Yellow2,Purple,Green1,Yellow2,Green1,Green1,Yellow2,Yellow2,Purple,Yellow2,Purple,Green1,Yellow2,Yellow2,Yellow2,Purple,Yellow2,Green1,Yellow2,Green1,Yellow2,Purple
"Purple, Green, Orange",Purple,Purple,Purple,Green1,Purple,Orange,Orange,Green1,Purple,Green1,Orange,Purple,Orange,Purple,Orange,Green1,Purple,Green1,Green1,Orange,,,,,,,,,
"Purple, Cyan, Yellow",Purple,Purple,Yellow2,Cyan1,Yellow2,Cyan1,Yellow2,Cyan1,Purple,Purple,Yellow2,Cyan1,Cyan1,Cyan1,Yellow2,Cyan1,Yellow2,Purple,Yellow2,Yellow2,Yellow2,Yellow2,Cyan1,Cyan1,Purple,,,,
"Purple, Cyan, Orange",Purple,Purple,Cyan1,Orange,Orange,Purple,Purple,Orange,Purple,Cyan1,Cyan1,Purple,Orange,Orange,Orange,Cyan1,Orange,Purple,Cyan1,Cyan1,Orange,,,,,,,,
"Purple, Yellow, Orange",Purple,Purple,Purple,Orange,Yellow1,Orange,Orange,Yellow1,Yellow1,Orange,Yellow1,Yellow1,Yellow1,Purple,Yellow1,Orange,Yellow1,Orange,Yellow1,Purple,Yellow1,Purple,Orange,Orange,,,,,
Left Swing,Mouse Left Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right Swing,Mouse Right Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ 1Flourish,W Button,A Button,S Button,D Button,Mouse Right Button,,,,,,,,,,,,,,,,,,,,,,,,
Backwards Strike,Mouse Left Button,Mouse Right Button,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ 1Overhead Smash,W Button,A Button,S Button,D Button,Mouse Left Button,Mouse Right Button,,,,,,,,,,,,,,,,,,,,,,,
",, orHilt Stab (Only after an attack)",S Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left Swing,PS4 - Triangle Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right Swing,PS4 - Circle Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ 1Flourish,PS4 - Left Stick,PS4 - Circle Button,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backwards Strike,PS4 - Triangle Button,PS4 - Circle Button,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ 1Overhead Smash,PS4 - Left Stick,PS4 - Triangle Button,PS4 - Circle Button,,,,,,,,,,,,,,,,,,,,,,,,,,
",, orHilt Stab (Only after an attack)",PS4 - Left Stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left Swing,XBOX - Y Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right Swing,XBOX - B Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ 1Flourish,XBOX - Left Stick,XBOX - B Button,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backwards Strike,XBOX - Y Button,XBOX - B Button,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ 1Overhead Smash,XBOX - Left Stick,XBOX - Y Button,XBOX - B Button,,,,,,,,,,,,,,,,,,,,,,,,,,
",, orHilt Stab (Only after an attack)",XBOX - Left Stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,
++,Use Special Performance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Perform 3rd song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Perform 4th song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,
++,Use Special Performance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Perform 3rd song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Perform 4th song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,
++,Use Special Performance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Perform 3rd song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Perform 4th song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoveInput,Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Beat,Used as a perfect input for increased damage when you play the next song on the meter in a performance. Time this as soon as the song starts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encore+(end performance early)(after all songs in queue),Use this if you want to perform only one song (or the last song) for one more performance with increased buffs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoveInput,Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Beat,Used as a perfect input for increased damage when you play the next song on the meter in a performance. Time this as soon as the song starts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encore+(end performance early)(after all songs in queue),Use this if you want to perform only one song (or the last song) for one more performance with increased buffs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoveInput,Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Beat,Used as a perfect input for increased damage when you play the next song on the meter in a performance. Time this as soon as the song starts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encore+(end performance early)(after all songs in queue),Use this if you want to perform only one song (or the last song) for one more performance with increased buffs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Rewards,Starting Quests,Climate Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather System,Health,Stamina,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fainting Penalty,Seikret,Pop-up Camps,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Travel,Climbing Walls,Crafting Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Items,Slinger,SOS Flare,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunting Assistants,Sharpening Weapons,Forge Weapons and Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switching Weapons,Starting Monster Fights,Setting Traps,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capturing Monsters,Mounting Monsters,Tracking Monsters,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneak Attack,Separate Monster Herds,Stunning Monsters,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodging Attacks,Status Effects,Poison Status,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireblight Status,Waterblight Status,Thunderblight Status,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceblight Status,Blastblight Status,Paralysis Status,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Status,Exhaust Status,Frenzy Status,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubbleblight Status,Underwater Combat,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stats Explained,Attack Stat,Defense Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Resistance,Weapon Sharpness,Affinity,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Formula,Damage Number Colors,Elemental Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Element,Motion Values,Hitzone Values,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Distance,Offset Attacks,Wounding Mechanic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Mode and Strike,Power Clash,Super and Hyper Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block and Perfect Guard,Hunting Horn Songs,Bowgun Mods,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunlance Shelling,Bowgun Special Ammo,Phial Types,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blunt, Sever, and Shot",-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material Retrieval,Item Trading,Smelting,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melding Pot,Support Ship,Bounties and Research Help,,,,,,,,,,,,,,,,,,,,,,,,,,,
